date_key,MaxOpen,MinOpen,AverageOpen,MaxClose,MinClose,AverageClose,MaxHigh,MinHigh,AverageHigh,MaxLow,MinLow,AverageLow,MaxVolume,MinVolume,AverageVolume
0,705.0,26.7,278.8,756.9,26.7,297.75,759.5,26.7,298.58750000000003,705.0,26.7,278.8,4456424,7512,1149759.0
1,710.0,27.0,286.85,754.55,26.85,300.1625,770.0,28.7,305.6375,710.0,26.5,282.95,9487878,8135,2439203.25
2,755.0,26.0,295.4125,735.3,26.3,295.625,759.0,27.75,305.8625,705.0,25.5,280.7875,26833684,6095,6757619.75
3,740.0,25.8,299.2,785.65,25.95,313.8625,794.15,27.0,317.8375,740.0,25.8,298.95,15682286,19697,3958920.75
4,808.0,25.0,319.375,848.5,24.8,333.54999999999995,848.5,26.0,336.35,798.0,24.25,315.0625,19870977,33107,5000821.0
5,900.0,25.05,348.1125,912.2,25.0,347.65000000000003,916.4,26.5,352.9,865.0,25.0,334.0875,13417057,29575,3385983.0
6,920.0,24.25,347.55,853.75,23.2,326.6125,920.0,24.8,350.6125,839.25,23.0,320.79999999999995,12544322,20635,3183064.25
7,900.0,22.6,340.875,882.7,24.0,339.07500000000005,900.0,24.5,345.45,860.55,22.6,327.69999999999993,12109507,9312,3042757.5
8,890.0,24.5,343.0,881.4,23.6,341.42499999999995,920.0,24.5,354.475,875.0,23.1,337.12499999999994,17076042,19526,4301661.25
9,872.5,24.0,339.0,869.65,23.25,338.425,880.0,24.2,343.96250000000003,864.0,22.5,334.7625,13460592,14332,3380324.75
10,880.0,24.5,341.4375,875.95,25.15,338.40000000000003,890.0,25.15,347.13750000000005,870.0,24.25,335.775,10729180,7125,2706663.0
11,870.1,26.5,336.91249999999997,881.05,24.9,339.83750000000003,899.0,26.5,347.3125,868.0,24.3,333.4,10083321,12526,2560482.5
12,889.0,24.75,344.79999999999995,900.85,25.6,347.05,911.0,26.0,351.725,889.0,24.75,342.4875,11481392,14108,2901919.0
13,907.0,26.1,348.9,895.7,24.45,343.52500000000003,919.9,26.25,353.3875,893.55,24.3,341.575,15428711,5671,3889437.75
14,897.9,25.0,343.65,888.25,25.1,344.63749999999993,897.9,25.3,348.1375,885.25,24.3,339.675,17137072,1888,4299882.5
15,880.0,25.6,342.54999999999995,884.75,24.8,343.9375,895.0,25.75,348.9,851.0,24.6,334.15,13163301,6351,3320625.75
16,871.0,25.0,340.2625,881.25,25.05,340.9875,890.0,25.4,345.27500000000003,870.0,24.05,337.25,9752949,6859,2475122.75
17,865.9,25.85,340.1875,830.3,27.05,332.75,885.0,27.05,348.4375,810.75,25.25,323.8,15014556,4109,3808685.75
18,800.0,28.0,324.725,792.45,29.25,324.06250000000006,815.0,29.25,331.0375,782.0,27.1,318.9,11734252,6418,3015167.25
19,778.65,31.0,319.025,746.75,31.6,310.6375,788.0,31.6,323.375,729.25,30.1,304.47499999999997,10191331,5416,2631825.75
20,751.0,32.95,311.4375,731.5,34.15,308.6125,759.0,34.15,318.6125,721.0,32.95,301.7875,10707804,6038,2730547.25
21,740.0,36.9,314.18750000000006,731.05,36.9,309.29999999999995,752.0,36.9,318.18750000000006,700.0,36.9,300.6125,9950848,4939,2507351.25
22,750.0,39.85,314.7125,714.15,39.85,305.29999999999995,750.0,39.85,315.7125,695.0,39.85,299.0625,6771527,6218,1737441.0
23,720.0,43.05,308.9375,713.5,43.05,306.1,720.0,43.05,309.775,706.0,43.05,302.6875,7106910,5275,1796508.0
24,701.0,46.5,303.9,701.7,39.65,299.73750000000007,717.0,46.5,309.9875,700.0,39.65,297.875,8193641,7195,2249813.5
25,704.0,38.0,298.625,685.5,37.95,295.9875,704.0,40.75,302.9125,680.0,37.0,291.2625,6430661,9764,1722402.0
26,714.0,39.5,305.6,707.4,36.05,302.8375,740.35,40.0,314.6,695.0,35.05,297.4625,11436821,13661,2939509.75
27,719.0,37.5,306.075,712.1,38.95,305.97499999999997,730.0,38.95,313.4125,707.0,36.5,301.1,10792579,8545,2756616.25
28,723.0,42.1,311.275,704.15,42.1,304.5625,729.0,42.1,315.275,700.0,42.1,302.53749999999997,8155627,15556,2080419.5
29,710.0,44.95,304.58750000000003,690.6,38.75,295.875,711.0,45.25,306.02500000000003,690.0,38.75,295.1875,5127399,5161,1344081.25
30,681.0,37.25,293.0625,653.3,35.65,283.8375,681.0,37.25,294.9125,640.0,35.65,279.42499999999995,8124337,14364,2110730.75
31,670.0,37.0,290.5,674.7,38.1,291.2375,680.0,38.5,295.025,662.0,36.0,286.04999999999995,7876392,6534,2024750.5
32,670.0,39.5,290.7875,677.0,38.5,295.0,698.0,40.0,301.4,670.0,37.3,289.75,7670820,8806,1958538.0
33,670.0,37.55,292.96250000000003,667.05,36.6,289.9625,694.9,37.75,300.15,661.0,35.5,287.45,5030667,4141,1287042.0
34,675.0,38.25,290.9125,665.7,35.4,288.3,690.0,38.25,297.4875,655.0,34.7,283.3375,2944404,7977,769868.5
35,670.0,37.2,289.55,657.45,33.75,283.20000000000005,670.0,38.0,290.75,655.0,33.3,281.45,7192242,10745,1849857.25
36,658.0,35.0,285.6875,665.65,34.55,284.625,680.0,36.4,292.40000000000003,655.0,34.0,280.3375,4831725,2807,1235156.25
37,675.0,37.35,287.5625,662.1,37.35,285.8125,677.0,37.35,290.7625,642.0,33.0,277.325,5663873,1562,1480160.0
38,674.0,39.75,290.725,641.85,39.45,278.125,674.0,40.1,291.1875,640.0,35.8,275.475,3912097,3021,1032491.0
39,640.0,42.5,277.0875,635.85,38.85,277.6875,656.0,42.65,284.725,609.15,37.0,264.1625,5026004,7728,1313200.75
40,650.0,41.0,282.5,611.5,36.25,264.925,659.85,41.0,288.1625,605.0,35.75,261.8,9970107,4410,2576750.0
41,625.0,37.0,269.9,562.6,39.15,255.05,625.0,39.15,274.5,562.6,36.9,249.625,10765888,1966,2727289.25
42,527.0,42.2,247.75000000000003,517.6,38.2,235.93750000000003,530.0,42.2,249.8,517.6,38.0,235.775,12536245,8703,3184675.5
43,476.2,38.0,224.0625,504.6,35.55,224.49999999999997,545.45,38.0,241.37500000000003,476.2,35.15,217.075,4636776,3765,1202886.75
44,525.0,37.7,230.53750000000002,475.3,35.2,213.01250000000002,525.0,37.8,235.2125,464.25,35.0,207.7,10430713,15524,2638761.5
45,479.9,33.5,214.225,469.35,32.65,207.37500000000003,490.0,35.4,218.35,462.0,32.4,203.875,9560450,4579,2439515.75
46,488.0,34.0,214.15,489.4,30.6,208.23749999999998,506.45,34.85,219.87500000000003,465.1,30.25,200.9625,7256376,3464,1852564.25
47,500.0,29.65,211.3875,499.65,28.5,208.375,500.0,31.1,213.375,475.0,28.15,200.25,5545792,3086,1416247.0
48,500.0,28.0,208.3875,486.15,28.05,200.875,517.9,28.9,214.38750000000002,470.0,26.55,195.0375,6597169,8192,1675974.0
49,500.0,28.5,205.1,512.0,28.35,204.51250000000002,520.0,29.85,213.5875,487.0,26.05,195.84999999999997,10765401,4465,2719717.75
50,510.0,27.5,204.5125,519.95,27.4,211.76250000000002,530.0,28.3,214.575,490.0,26.1,197.075,10106318,5800,2571551.0
51,520.0,29.6,214.9,540.1,29.6,223.35000000000002,561.55,29.6,228.7125,520.0,29.6,212.65,5711222,5649,1439769.0
52,547.6,30.7,227.91250000000002,543.65,31.9,225.35,559.85,32.0,233.40000000000003,520.0,29.5,216.9125,10564295,9879,2678236.25
53,550.0,34.25,228.7625,544.85,30.8,225.98749999999998,554.95,34.25,231.375,535.1,30.25,220.4875,6838036,22436,1742065.75
54,563.0,32.75,234.425,573.25,32.35,236.3,587.0,32.75,241.3,558.0,30.6,230.32500000000002,4931613,8459,1255235.0
55,590.0,32.8,242.08749999999998,579.45,31.45,237.48750000000004,595.0,33.45,243.6375,572.25,31.0,234.21249999999998,4286132,8573,1087477.75
56,581.0,31.45,236.91250000000002,599.3,31.9,241.575,613.0,33.0,246.26250000000002,581.0,30.8,235.68749999999997,2637850,10338,672695.0
57,609.0,30.5,245.35,636.6,30.6,253.91250000000002,642.0,32.3,258.2625,595.0,30.0,238.875,4141666,10095,1051980.5
58,640.1,30.25,255.4875,629.6,31.7,257.6,651.0,32.0,263.4,622.25,30.1,250.375,7026761,10129,1785732.0
59,654.0,32.9,265.42499999999995,643.65,34.25,259.325,675.0,34.25,273.2125,625.0,32.0,253.5,10277833,9654,2582536.75
60,625.0,36.0,254.075,621.2,36.75,260.125,635.0,37.0,263.75,605.0,35.05,246.14999999999998,17168324,13117,4323388.0
61,624.0,36.9,260.5,619.8,39.7,266.46250000000003,629.9,39.7,269.0125,605.0,36.25,251.3625,19704184,6741,4947979.0
62,612.0,42.9,268.3875,601.35,38.9,264.7125,618.0,42.9,271.5875,571.55,36.8,253.67499999999998,21353020,6653,5394992.75
63,575.0,39.95,257.2375,567.8,35.8,247.77499999999998,589.0,39.95,260.7375,555.0,35.8,243.98749999999998,13530488,14661,3404447.75
64,560.0,33.05,245.36249999999998,578.8,34.7,249.825,590.0,38.65,257.4,560.0,33.0,238.5625,25186375,4633,6322302.0
